Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
PS71/178,-69.397,359.96686,49.6,-1.365,34.062,,
PS71/178,-69.397,359.96686,49.6,-1.365,34.061001,,
PS71/178,-69.397,359.96686,49.7,-1.363,34.051998,,
PS71/178,-69.397,359.96686,49.7,-1.362,34.053001,,
PS71/178,-69.397,359.96686,49.9,-1.365,34.062,,
PS71/178,-69.397,359.96686,49.9,-1.365,34.062,,
PS71/178,-69.397,359.96686,49.9,-1.365,34.062,,
PS71/178,-69.397,359.96686,50.0,-1.361,34.070999,,
PS71/178,-69.397,359.96686,50.1,-1.362,34.069,,
PS71/178,-69.397,359.96686,56.2,-1.333,34.081001,26.290001,0.253659
PS71/178,-69.397,359.96686,56.2,-1.333,34.081001,26.32,
PS71/178,-69.397,359.96686,72.2,-1.263,34.106998,,
PS71/178,-69.397,359.96686,74.1,-1.358,34.088001,,
PS71/178,-69.397,359.96686,75.0,-1.334,34.084999,26.459999,0.273171
PS71/178,-69.397,359.96686,98.6,-1.359,34.126999,28.450001,0.185366
PS71/178,-69.397,359.96686,99.9,-1.36,34.09,,
PS71/178,-69.397,359.96686,99.9,-1.361,34.09,,
PS71/178,-69.397,359.96686,100.0,-1.348,34.110001,,
PS71/178,-69.397,359.96686,100.2,-1.362,34.09,,
PS71/178,-69.397,359.96686,100.3,-1.361,34.09,,
PS71/178,-69.397,359.96686,100.5,-1.286,34.136002,,
PS71/178,-69.397,359.96686,100.7,-1.344,34.098999,,
PS71/178,-69.397,359.96686,100.8,-1.344,34.098999,,
PS71/178,-69.397,359.96686,100.8,-1.344,34.098999,,
PS71/178,-69.397,359.96686,100.9,-1.345,34.098999,,
PS71/178,-69.397,359.96686,101.0,-1.344,34.098999,,
PS71/178,-69.397,359.96686,101.6,-1.282,34.111,,
PS71/178,-69.397,359.96686,136.7,-1.7,34.370998,31.08,0.079024
PS71/178,-69.397,359.96686,148.6,-1.708,34.396,,
